Name,CAS,Clean_Name,Source_File
"6-(benzo[d][1,3]dioxol-5-ylmethyl)-5-(4,5-dimethoxy-3-oxo-1,3-dihydroisobenzofuran-1-yl)-4-methoxy-6-methyl-5,6,7,8-tetrahydro-[1,3]dioxolo[4,5-g]isoquinolin-6-ium acetate",2499950-11-5,6-(BENZO D 1 3 DIOXOL-5-YLMETHYL)-5-(4 5-DIMETHOXY-3-OXO-1 3-DIHYDROISOBENZOFURAN-1-YL)-4-METHOXY-6-METHYL-5 6 7 8-TETRAHYDRO- 1 3 DIOXOLO 4 5-G ISOQUINOLIN-6-IUM ACETATE,ammonium.csv
"6-(benzo[d][1,3]dioxol-5-ylmethyl)-5-(4,5-dimethoxy-3-oxo-1,3-dihydroisobenzofuran-1-yl)-4-methoxy-6-methyl-5,6,7,8-tetrahydro-[1,3]dioxolo[4,5-g]isoquinolin-6-ium trifluoromethanesulfonate",2499950-25-1,6-(BENZO D 1 3 DIOXOL-5-YLMETHYL)-5-(4 5-DIMETHOXY-3-OXO-1 3-DIHYDROISOBENZOFURAN-1-YL)-4-METHOXY-6-METHYL-5 6 7 8-TETRAHYDRO- 1 3 DIOXOLO 4 5-G ISOQUINOLIN-6-IUM TRIFLUOROMETHANESULFONATE,ammonium.csv
bis(2-hydroxyethyl)ammonium 2-hydroxybenzoate,109962-24-5,BIS(2-HYDROXYETHYL)AMMONIUM 2-HYDROXYBENZOATE,ammonium.csv
"bis(2-hydroxyethyl)ammonium 2-hydroxypropane-1,2,3-tricarboxylate",,BIS(2-HYDROXYETHYL)AMMONIUM 2-HYDROXYPROPANE-1 2 3-TRICARBOXYLATE,ammonium.csv
bis(2-hydroxyethyl)ammonium 2-hydroxypropanoate,101901-23-9,BIS(2-HYDROXYETHYL)AMMONIUM 2-HYDROXYPROPANOATE,ammonium.csv
bis(2-hydroxyethyl)ammonium acetate,23251-72-1,BIS(2-HYDROXYETHYL)AMMONIUM ACETATE,ammonium.csv
bis(2-hydroxyethyl)ammonium adipate,,BIS(2-HYDROXYETHYL)AMMONIUM ADIPATE,ammonium.csv
bis(2-hydroxyethyl)ammonium benzoate,53926-87-7,BIS(2-HYDROXYETHYL)AMMONIUM BENZOATE,ammonium.csv
bis(2-hydroxyethyl)ammonium fumarate,,BIS(2-HYDROXYETHYL)AMMONIUM FUMARATE,ammonium.csv
bis(2-hydroxyethyl)ammonium oleate,13961-86-9,BIS(2-HYDROXYETHYL)AMMONIUM OLEATE,ammonium.csv
ethanaminium 2-hydroxyacetate,914801-89-1,ETHANAMINIUM 2-HYDROXYACETATE,ammonium.csv
ethanaminium acetate,25596-29-6,ETHANAMINIUM ACETATE,ammonium.csv
ethanaminium formate,71173-55-2,ETHANAMINIUM FORMATE,ammonium.csv
ethanaminium nitrate,22113-86-6,ETHANAMINIUM NITRATE,ammonium.csv
N-((5-(chloromethyl)furan-2-yl)methyl)-N-ethylethanaminium chloride,2600618-26-4,N-((5-(CHLOROMETHYL)FURAN-2-YL)METHYL)-N-ETHYLETHANAMINIUM CHLORIDE,ammonium.csv
N-((5-(hydroxymethyl)furan-2-yl)methyl)butan-1-aminium chloride,2600618-32-2,N-((5-(HYDROXYMETHYL)FURAN-2-YL)METHYL)BUTAN-1-AMINIUM CHLORIDE,ammonium.csv
N-((5-(hydroxymethyl)furan-2-yl)methyl)cyclohexanaminium chloride,2600618-33-3,N-((5-(HYDROXYMETHYL)FURAN-2-YL)METHYL)CYCLOHEXANAMINIUM CHLORIDE,ammonium.csv
"N-((7-(decyloxy)-4,5-dimethoxy-9,10-dioxo-9,10-dihydroanthracen-2-yl)methyl)-N,N-dimethyltetradecan-1-aminium bromide",1809097-94-6,N-((7-(DECYLOXY)-4 5-DIMETHOXY-9 10-DIOXO-9 10-DIHYDROANTHRACEN-2-YL)METHYL)-N N-DIMETHYLTETRADECAN-1-AMINIUM BROMIDE,ammonium.csv
"N-((7-(decyloxy)-4,5-dimethoxy-9,10-dioxo-9,10-dihydroanthracen-2-yl)methyl)-N-methyl-N-nonylnonan-1-aminium bromide",1809097-98-0,N-((7-(DECYLOXY)-4 5-DIMETHOXY-9 10-DIOXO-9 10-DIHYDROANTHRACEN-2-YL)METHYL)-N-METHYL-N-NONYLNONAN-1-AMINIUM BROMIDE,ammonium.csv
"N-((7-ethoxy-4,5-dihydroxy-9,10-dioxo-9,10-dihydroanthracen-2-yl)methyl)-N-methyl-N-nonylnonan-1-aminium bromide",1809098-04-1,N-((7-ETHOXY-4 5-DIHYDROXY-9 10-DIOXO-9 10-DIHYDROANTHRACEN-2-YL)METHYL)-N-METHYL-N-NONYLNONAN-1-AMINIUM BROMIDE,ammonium.csv
