Canonical_SMILES,MolWt,LogP,TPSA,HBD,HBA,AromaticRings,biocompatibility_label
Br[Ag-]Br.CCCCCCCCCCCCCCCC[n+]1ccn(C)c1,2.0501945367036014,2.720276920181213,-0.781104504483181,-0.6047500590104136,-0.543155977818394,0.21201642055810097,0.0
Br[Cu-2](Br)(Br)Br.CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.CCCCCCCCCCCCCCCC[n+]1ccn(C)c1,0.45016115226493214,0.3523326799115554,-0.8448673903769917,-0.6047500590104136,-0.543155977818394,2.3039117700646967,0.0
Brc1ccc(Cn2c[n+](CCCn3c4ccccc4c4ccccc43)c3ccccc32)cc1.[Br-],0.2607628670076873,0.10466915150308223,-0.8448673903769917,-0.6047500590104136,-0.543155977818394,1.7809379326880477,0.0
Brc1ccc(Cn2cc[n+](CCCn3c4ccccc4c4ccccc43)c2)cc1.[Br-],0.5563013738911152,0.5198899855517661,-0.8448673903769917,-0.6047500590104136,-0.543155977818394,2.3039117700646967,0.0
Brc1ccccc1Cn1c[n+](CCCCCn2c3ccccc3c3ccccc32)c2ccccc21.[Br-],0.5032312630780239,0.43611133273166075,-0.8448673903769917,-0.6047500590104136,-0.543155977818394,2.3039117700646967,0.0
Brc1ccccc1Cn1c[n+](CCCCn2c3ccccc3c3ccccc32)c2ccccc21.[Br-],0.45016115226493214,0.3523326799115554,-0.8448673903769917,-0.6047500590104136,-0.543155977818394,2.3039117700646967,0.0
Brc1ccccc1Cn1c[n+](CCCn2c3ccccc3c3ccccc32)c2ccccc21.[Br-],0.31383297782077946,0.1884478043231875,-0.8448673903769917,-0.6047500590104136,-0.543155977818394,1.7809379326880477,0.0
Brc1ccccc1Cn1cc[n+](CCCCn2c3ccccc3c3ccccc32)c1.[Br-],-0.20829867133874946,-0.2783588600443609,0.42792526747755333,-0.6047500590104136,0.39179719264625684,-0.310957416818548,0.0
C#CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-0.17406623656033243,-0.14028837581455925,0.6155985037938724,0.09383066194674344,0.39179719264625684,-0.833931254195197,0.0
C/C=C/[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-1.0998477789641703,-1.0112126792787275,-0.7382124601061587,0.09383066194674344,-0.8548070346399443,-0.833931254195197,-1.0
C/C=C/[N+](C)(C)CCO.[Cl-],-1.118825441745839,-1.2520467763627208,-0.7945801659349657,0.09383066194674344,-0.8548070346399443,-0.833931254195197,1.0
C1CN=C2CCC[NH+]2C1.[Cl-],-1.029570648547604,-0.7217135149580364,-0.16401781239230728,0.09383066194674344,-0.23150492099684372,-0.833931254195197,0.0
C1CNC2=[N+](C1)CCC2.CC(=O)[O-],-0.007432823104782932,-1.42331946445304,1.8113169516375998,2.8881535457753715,1.0150993062893574,-0.833931254195197,1.0
C1C[NH+]=C2CCCN2C1.C1C[NH+]=C2CCCN2C1.CC(O)(P(=O)([O-])O)P(=O)([O-])O,0.15551553382179067,-1.483667584018407,2.2389226967295977,3.5867342667325284,1.3267503631109077,-0.833931254195197,0.0
C1C[NH+]=C2CCCN2C1.C1C[NH+]=C2CCCN2C1.NCCCC(O)(P(=O)([O-])O)P(=O)([O-])O,-0.4772850974004559,-1.0653112248962215,1.481984932742763,2.8881535457753715,0.39179719264625684,-0.833931254195197,0.0
C1C[NH+]=C2CCCN2C1.CC(O)(P(=O)([O-])O)P(=O)(O)O,-0.31433674047388294,-1.1256593444615883,1.9095906778347616,3.5867342667325284,0.7034482494678072,-0.833931254195197,0.0
C1C[NH+]=C2CCCN2C1.NCCCC(O)(P(=O)([O-])O)P(=O)(O)O,-1.118825441745839,-1.3599217246107054,-0.7878423352090733,0.09383066194674344,-0.8548070346399443,-0.833931254195197,0.0
C1C[NH+]=C2CCCN2C1.[Cl-],1.3655571914120523,1.8799562004824057,0.3994949085609833,0.7924113829039005,0.08014613582470656,-0.310957416818548,0.0
C=C(C)[C@@H]1CC[C@]2(C(=O)NCC(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,0.6074759884813968,0.4842180187908855,0.7319493368165989,1.4909921038610574,0.39179719264625684,-0.833931254195197,-1.0
C=C(C)[C@@H]1CC[C@]2(C(=O)NCC(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.C[N+](C)(C)CCO,1.8281793393967634,3.4146239143690704,-0.07872673564259668,0.09383066194674344,-0.23150492099684372,-0.833931254195197,0.0
C=C(C)[C@@H]1CC[C@]2(C(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,1.1497051943985435,2.069762848425006,-0.07872673564259668,0.09383066194674344,-0.23150492099684372,-0.310957416818548,0.0
C=C(C)[C@@H]1CC[C@]2(C(=O)[O-])CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12.CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,1.5145484913207687,1.7200014693354848,0.5554510392651747,1.4909921038610574,0.7034482494678072,0.7349902579347499,-1.0
